,time_stamp,ooi,gif,mask_shape,source_url,s3_original,s3_transformed,s3_gif,p_hash_original,p_hash_transformed
1431,2018-08-28 15:26:22.752225,tie,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/fullsizeoutput_10f2.jpg,https://s3.amazonaws.com/deepangelai/results/tie/c24786eb-6203-4558-b4ef-a3aa9c162a1e/original.jpg,https://s3.amazonaws.com/deepangelai/results/tie/c24786eb-6203-4558-b4ef-a3aa9c162a1e/box/_100.jpg,,bcb91a0603ececd6,c63939c639c639c6
1432,2018-08-28 15:26:38.734100,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/capture.png,https://s3.amazonaws.com/deepangelai/results/person/39ae74f1-a337-42c5-9e57-5b20f67df067/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/39ae74f1-a337-42c5-9e57-5b20f67df067/box/_100.jpg,,a9cad6069b171b36,9999666699996666
1433,2018-08-28 15:28:00.308567,car,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/free_wifi.jpg,https://s3.amazonaws.com/deepangelai/results/car/cab18647-321b-498c-9361-456221555a15/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/cab18647-321b-498c-9361-456221555a15/box/_100.jpg,,bbd0b45b4799d023,0000000000000000
1434,2018-08-28 15:28:10.957355,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/eyes_closed.jpg,https://s3.amazonaws.com/deepangelai/results/person/03e98b3e-3500-4f6f-ace7-f011b7fe4e5a/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/03e98b3e-3500-4f6f-ace7-f011b7fe4e5a/box/_100.jpg,,cd200c77f01de0f7,d02f2d9cd8e16396
1435,2018-08-28 15:28:13.778070,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/p00x46jh.jpg,https://s3.amazonaws.com/deepangelai/results/person/ffed49df-c0a6-42dc-8fcd-07db95dd910b/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/ffed49df-c0a6-42dc-8fcd-07db95dd910b/box/_100.jpg,,92c599966d5b4da4,cc3333cc33cccccc
1436,2018-08-28 15:29:50.883705,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/ce334a67-7abf-4f77-8b9c-dadc4b921b9c.jpg,https://s3.amazonaws.com/deepangelai/results/person/d5a78b7f-f01b-491e-b9cb-3645be9f173b/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/d5a78b7f-f01b-491e-b9cb-3645be9f173b/box/_100.jpg,,9443bfb2d4c1abc8,c92444563a3f373b
1437,2018-08-28 15:29:54.586873,car,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/rolls-royce.jpg,https://s3.amazonaws.com/deepangelai/results/car/937cb00b-2b6a-41a5-a231-afe6b4c0ae6f/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/937cb00b-2b6a-41a5-a231-afe6b4c0ae6f/box/_100.jpg,,dbe0268f98986667,807a7f6a7e2a7a80
1438,2018-08-28 15:29:57.132293,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/34629555_2190351834520879_5002757062904512512_o.jpg,https://s3.amazonaws.com/deepangelai/results/person/82f9b34c-c017-40f0-919a-0fb94b070aec/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/82f9b34c-c017-40f0-919a-0fb94b070aec/box/_100.jpg,,b2191f46e51b5c0f,cd33323332733273
1439,2018-08-28 15:30:05.063027,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/40326706_484993445302885_6848683631053897728_n.jpg,https://s3.amazonaws.com/deepangelai/results/person/563cb26c-d48f-4b2a-8d07-8d5030c10ab2/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/563cb26c-d48f-4b2a-8d07-8d5030c10ab2/box/_100.jpg,,e69cd1f30e1c8c93,803f1d4163676767
1440,2018-08-28 15:30:16.361327,boat,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/20180822_130037.jpg,https://s3.amazonaws.com/deepangelai/results/boat/a6a3631b-d593-4e75-8c60-e10933508cb1/original.jpg,https://s3.amazonaws.com/deepangelai/results/boat/a6a3631b-d593-4e75-8c60-e10933508cb1/box/_100.jpg,,b5a2ca5c2d32b2d9,c2c23d3dfcc2d3c0
1441,2018-08-28 15:30:39.820263,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/2018-07-25_0802.jpg,https://s3.amazonaws.com/deepangelai/results/person/2998344b-7919-4c20-aebc-2cc1e0990efd/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/2998344b-7919-4c20-aebc-2cc1e0990efd/box/_100.jpg,,dad6b529e59a1245,a5a55aa55aa55a5a
1442,2018-08-28 15:30:51.492659,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_20180506_132749.jpg,https://s3.amazonaws.com/deepangelai/results/person/1e8e9362-7a24-4a6d-aa3b-0e5fb232a505/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/1e8e9362-7a24-4a6d-aa3b-0e5fb232a505/box/_100.jpg,,ed231a26334d2d57,9865659d659898bd
1443,2018-08-28 15:31:02.927375,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_0413.jpg,https://s3.amazonaws.com/deepangelai/results/person/d45762e9-5e48-420e-b43f-5e3ec428279a/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/d45762e9-5e48-420e-b43f-5e3ec428279a/box/_100.jpg,,b8b8c23b397d580e,cdcd3e3ac5033307
1444,2018-08-28 15:31:24.408305,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/whatsapp_image_2018-07-23_at_4.24.42_pm.jpg,https://s3.amazonaws.com/deepangelai/results/person/36e18289-7f84-442e-8919-f6cd8ae38a01/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/36e18289-7f84-442e-8919-f6cd8ae38a01/box/_100.jpg,,8eb1f5cea104f817,952e78f98e8626f0
1445,2018-08-28 15:31:30.831107,horse,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/animals_white-horses-in-galloping-wallpaper-hd-7358_-1366x768.jpg,https://s3.amazonaws.com/deepangelai/results/horse/e41c8883-6929-49f0-9e59-3d9d84eb533e/original.jpg,https://s3.amazonaws.com/deepangelai/results/horse/e41c8883-6929-49f0-9e59-3d9d84eb533e/box/_100.jpg,,8182fb13d1277ed1,c46e2b933b932b91
1446,2018-08-28 15:31:41.447808,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/screen_shot_2018-02-13_at_11.35.59_am.jpg,https://s3.amazonaws.com/deepangelai/results/person/a4c009f5-1275-4351-a103-1637f5d1e118/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a4c009f5-1275-4351-a103-1637f5d1e118/box/_100.jpg,,9966b2738c69cc93,807f7f7f7f006080
1447,2018-08-28 15:32:25.067941,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_9188.jpg,https://s3.amazonaws.com/deepangelai/results/person/a5476d8c-47e5-4e59-b37d-cf9702503e84/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a5476d8c-47e5-4e59-b37d-cf9702503e84/box/_100.jpg,,ba50e52e995724e6,d827d827de215ea8
1448,2018-08-28 15:32:38.837245,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_20180120_102322.jpg,https://s3.amazonaws.com/deepangelai/results/person/99215bc0-14b9-4c66-8558-f95a0be01853/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/99215bc0-14b9-4c66-8558-f95a0be01853/box/_100.jpg,,841c198ea6ebeb63,9966669999666699
1449,2018-08-28 15:32:47.812410,bird,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/20180804_173540.jpg,https://s3.amazonaws.com/deepangelai/results/bird/1a54103b-3db0-4328-b1e4-078cc9580416/original.jpg,https://s3.amazonaws.com/deepangelai/results/bird/1a54103b-3db0-4328-b1e4-078cc9580416/box/_100.jpg,,f33c1dc31c3c3ce0,9966669966999966
1450,2018-08-28 15:33:30.088088,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_1170.jpg,https://s3.amazonaws.com/deepangelai/results/person/ea9fd225-1315-4f32-8484-fa819e999380/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/ea9fd225-1315-4f32-8484-fa819e999380/box/_100.jpg,,c35a3ca1f68d991a,f3136e146c8ceec1
1451,2018-08-28 15:33:33.689416,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/012.jpg,https://s3.amazonaws.com/deepangelai/results/person/e378d96d-17f4-42cf-bcf6-b7ef963172e8/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/e378d96d-17f4-42cf-bcf6-b7ef963172e8/box/_100.jpg,,ae4991b7d662681b,d5d52adf2a2a2a2a
1452,2018-08-28 15:33:55.212716,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/20180707_150449.jpg,https://s3.amazonaws.com/deepangelai/results/person/79e850f1-655c-4e01-804c-0e6bd4d2705e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/79e850f1-655c-4e01-804c-0e6bd4d2705e/box/_100.jpg,,d985f6b811764e29,807f7f7f7f804080
1453,2018-08-28 15:34:02.858140,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/0227c7e5-02c8-47b1-92eb-344a01cbad1e.jpg,https://s3.amazonaws.com/deepangelai/results/person/c9864e26-d2f6-40b2-a8be-84129b2aac24/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/c9864e26-d2f6-40b2-a8be-84129b2aac24/box/_100.jpg,,c033d0c5d4f39bcc,974a6db5a44a92ad
1454,2018-08-28 15:35:14.457842,dog,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/20180818_114249.jpg,https://s3.amazonaws.com/deepangelai/results/dog/0fb59417-737e-43a0-9e6f-1e196703af04/original.jpg,https://s3.amazonaws.com/deepangelai/results/dog/0fb59417-737e-43a0-9e6f-1e196703af04/box/_100.jpg,,a3d25d0154dfc91d,9966669999669999
1455,2018-08-28 15:35:18.441245,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/139410982.jpg,https://s3.amazonaws.com/deepangelai/results/person/cfaa742b-a051-43b9-9b9e-72404aa1d709/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/cfaa742b-a051-43b9-9b9e-72404aa1d709/box/_100.jpg,,8c2b73f2dc5ca264,d4572b2a2ad4d5d4
1456,2018-08-28 15:35:46.665693,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_20171014_105145.jpg,https://s3.amazonaws.com/deepangelai/results/person/0e19cdba-03ac-4fc2-b225-3608088db045/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/0e19cdba-03ac-4fc2-b225-3608088db045/box/_100.jpg,,e45b326c2b8c8bce,9867676798989867
1457,2018-08-28 15:38:55.083765,car,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/car.jpg,https://s3.amazonaws.com/deepangelai/results/car/6bf308fd-7129-4de8-8023-b53076cffc55/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/6bf308fd-7129-4de8-8023-b53076cffc55/box/_100.jpg,,c0b20f4d916fd3a9,986f47907e1b609e
1458,2018-08-28 15:39:41.077725,car,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/000_0581.jpg,https://s3.amazonaws.com/deepangelai/results/car/d9e0f9aa-4036-409a-b165-265e405c9256/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/d9e0f9aa-4036-409a-b165-265e405c9256/box/_100.jpg,,bd30c01fdfd84d41,c2c23dc03d3d2d3d
1459,2018-08-28 15:40:03.050074,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/maxresdefault.jpg,https://s3.amazonaws.com/deepangelai/results/person/68e2643b-2b11-4b21-a4cc-4f4fedfd65b8/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/68e2643b-2b11-4b21-a4cc-4f4fedfd65b8/box/_100.jpg,,879d1e82a89f9fa0,d1986d636f6c98e0
1460,2018-08-28 15:40:14.149246,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/kass.jpg,https://s3.amazonaws.com/deepangelai/results/person/1d36a7b6-f432-4efa-9e27-f1433b626552/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/1d36a7b6-f432-4efa-9e27-f1433b626552/box/_100.jpg,,ebc6da1ad0e21467,857a7a7878787868
1461,2018-08-28 15:40:17.664272,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/img_20170306_171053.jpg,https://s3.amazonaws.com/deepangelai/results/person/efb6d6ae-defc-4a1e-a280-44782f02b849/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/efb6d6ae-defc-4a1e-a280-44782f02b849/box/_100.jpg,,86f6d69630192dcb,cccc3333cccc3366
1462,2018-08-28 15:40:21.024813,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/ebb642a3-a6d8-4e0b-9db9-22b60bb823dc.jpg,https://s3.amazonaws.com/deepangelai/results/person/9e282929-2710-4659-a315-31bfa317b354/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/9e282929-2710-4659-a315-31bfa317b354/box/_100.jpg,,97b5d9693462c4c6,813c7e7e66c266c2
1463,2018-08-28 15:40:40.616424,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/65048322.jpg,https://s3.amazonaws.com/deepangelai/results/person/04bab936-1a83-4ff5-83e0-8a6f3343f142/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/04bab936-1a83-4ff5-83e0-8a6f3343f142/box/_100.jpg,,bfd41b32261e7892,d42b2b2b2b2b2b2b
1464,2018-08-28 15:41:01.088038,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/camp_kanata_2017_z-7.jpg,https://s3.amazonaws.com/deepangelai/results/person/e36b4e53-a832-450e-a31d-3fb04daca796/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/e36b4e53-a832-450e-a31d-3fb04daca796/box/_100.jpg,,d63a6d4cba94b294,92392d6666653d6c
1465,2018-08-28 15:41:53.812330,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/chris.jpg,https://s3.amazonaws.com/deepangelai/results/person/0d43dccc-e9d7-41cf-947b-ae70bbb3be1f/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/0d43dccc-e9d7-41cf-947b-ae70bbb3be1f/box/_100.jpg,,cb3bb06ca6c60eac,857a7a6a7a856a85
1466,2018-08-28 15:55:22.644854,person,False,box,https://s3.amazonaws.com/deepangelai/angel_upload/data/original-4.jpg,https://s3.amazonaws.com/deepangelai/results/person/241dc855-0f0c-4014-a72f-128ec534b078/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/241dc855-0f0c-4014-a72f-128ec534b078/box/_100.jpg,,c7867c12630dbfc4,0000000000000000
